Component Name,JOB NAME,BUILD STATUS,BUILD DATE,PIPELINE,BUILD DURATION(min),LOC,Code Coverage,Total(tests),Passed,Failed,Skipped,Remarks(Failed Job),Log link
NWM,adapters-workload-installation-a4-workload,success,2023-01-24T16:19:39.403Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-pod-bootstrapper/-/pipelines/13815051/builds,6.6,4566,87.00,25,25,0,0,,
NWM,adapters-inventory-submission-pod-inventory-syncer-actor,success,2023-01-24T16:19:39.403Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-pod-bootstrapper/-/pipelines/13815050/builds,6.31,1431,86.00,6,6,0,0,,
NWM,adapters-edgecloud-suse,success,2023-01-24T16:19:39.403Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-pod-bootstrapper/-/pipelines/13815048/builds,7.1,9934,88.00,38,38,0,0,,
NWM,adapters-commons,success,2023-01-24T16:19:39.403Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-pod-bootstrapper/-/pipelines/13815053/builds,5.56,1841,62.00,27,27,0,0,,
NWM,snapshots-generator-actor,success,2023-01-24T16:19:39.403Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-pod-bootstrapper/-/pipelines/13815047/builds,6.81,4647,85.00,12,12,0,0,,
NWM,snapshots-generation-triggering-actor,success,2023-01-24T16:19:39.403Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-pod-bootstrapper/-/pipelines/13815056/builds,6.15,2647,87.00,26,26,0,0,,
NWM,cluster-bootstrapping-manager-actor,success,2023-01-24T16:19:39.403Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-pod-bootstrapper/-/pipelines/13815054/builds,8.56,13672,82.00,84,84,0,0,,
NWM,changesets-actor,success,2023-01-24T16:19:39.403Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-pod-bootstrapper/-/pipelines/13815055/builds,6.91,2173,90.00,10,10,0,0,,
NWM,bootstrapper-api,success,2023-01-24T16:19:39.403Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-pod-bootstrapper/-/pipelines/13815049/builds,6.23,4364,86.00,39,39,0,0,,
NWM,bootstrapper-commons,success,2023-01-24T16:19:39.403Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-pod-bootstrapper/-/pipelines/13815052/builds,5.2,1052,90.00,14,14,0,0,,
NWM,ems-actor-commons,success,2023-01-13T13:37:37.085Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-actor-commons/-/pipelines/13586005/builds,10.18,22923,85.00,207,207,0,0,,
NWM,ems-actor-events-oss-it,success,2023-01-24T14:32:07.592Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-actor-events-oss-it/-/pipelines/13811933/builds,7.05,2895,91.00,10,10,0,0,,
NWM,ems-actor-events-storage,success,2023-01-24T14:32:07.597Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-actor-events-storage/-/pipelines/13811932/builds,7.88,2116,88.00,6,6,0,0,,
NWM,ems-actor-inventory,success,2023-01-24T14:32:08.625Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-actor-inventory/-/pipelines/13811936/builds,6.71,8790,92.00,21,21,0,0,,
NWM,ems-actor-messaging,failed,2023-01-24T14:32:07.013Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-actor-messaging/-/pipelines/13811927/builds,3.45,1450,,0,0,0,0,stage:unit-test / Job:test-coverage ,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-actor-messaging/-/jobs/83218049
NWM,ems-actor-operational-data-change,success,2023-01-24T14:32:07.407Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-actor-operational-data-change/-/pipelines/13811931/builds,6.38,1569,92.00,6,6,0,0,,
NWM,ems-actor-operational-data-values,success,2023-01-24T14:32:08.575Z,https://gitlab.devops.telekom.de/Access40/dev/c3/ems-actor-operational-data-values/-/pipelines/13811935/builds,11.8,18684,91.00,136,136,0,0,,
